solver,estado,costo,tiempo,arcos,num_arcos,error,archivo,archivo_corregido,start_node,end_node,timestamp
gurobi,solved,810.0,0.22915267944335938,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 20:40:01.731353
highs,solved,810.0,0.2042222023010254,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 20:40:01.995917
gurobi,solved,2008.0,0.23580718040466309,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 20:40:02.754840
highs,solved,2008.0,0.19131708145141602,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 20:40:03.005965
gurobi,solved,2008.0,0.23072528839111328,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 20:40:03.360984
highs,solved,2008.0,0.1914975643157959,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 20:40:03.613273
gurobi,solved,1487.0,0.23014116287231445,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 20:40:03.978110
highs,solved,1487.0,0.20402312278747559,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 20:40:04.249230
gurobi,solved,2225.0,0.2399463653564453,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 20:40:04.621769
highs,solved,2225.0,0.20659828186035156,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 20:40:04.887556
gurobi,solved,2978.0,0.24891209602355957,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 20:40:05.274663
highs,solved,2978.0,0.20284819602966309,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 20:40:05.543877
gurobi,solved,5602.0,0.4238607883453369,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 20:40:07.101124
highs,solved,5602.0,1.3560500144958496,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 20:40:08.520377
gurobi,solved,810.0,0.22638630867004395,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 20:40:08.873992
highs,solved,810.0,0.1751103401184082,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 20:40:09.112851
